star_name,hip_name,hd_name,gj_name,tm_name,st_exocatflag,st_coronagflag,st_starshadeflag,st_wfirstflag,st_lbtiflag,st_rvflag,st_ppnum,rastr,dec,decstr,st_dist,st_disterr1,st_disterr2,st_vmag,st_vmagerr,st_bmv,st_bmverr,st_spttype,st_lbol,st_lbolerr
HIP 92043,HIP 92043,HD 173667,GJ 725.2,2MASS J18453972+2032466,1,1,0,0,1,1,0,18h45m39.73s,20.547124,+20d32m49.6s,19.21,,,4.19,0.02,0.47,0.02,F6V,6.72,0.1
HIP 92161,HIP 92161,HD 173880,,2MASS J18470124+1810531,1,1,0,0,0,0,0,18h47m01.22s,18.18123,+18d10m52.4s,28.89,0.29,-0.29,4.34,0.02,0.13,0.02,A5III,13.58,0.07
HD 176051,HIP 93017 A,HD 176051,GJ 738 A,2MASS J18570156+3254050 A,1,0,1,0,0,0,0,18h57m01.47s,32.901624,+32d54m05.8s,14.87,0.15,-0.15,5.28,0.02,0.55,0.02,G0V,1.5,0.1
HIP 93506 A,HIP 93506 A,HD 176687 A,,2MASS J19023670-2952484 A,1,1,0,0,0,0,0,19h02m36.72s,-29.880114,-29d52m48.4s,27.04,0.55,-0.53,2.6,0.01,0.06,0.02,A3IV,58.04,0.12
HIP 93747,HIP 93747,HD 177724,GJ 4095 A,2MASS J19052461+1351486,1,1,0,0,0,0,0,19h05m24.61s,13.86371,+13d51m49.4s,25.46,,,2.99,0,0.01,0,A0Vn,40.34,0.05
HIP 93825 A,HIP 93825 A,HD 177474,GJ 743.1 A,2MASS J19062517-3703485 A,1,1,0,0,0,0,0,19h06m25.04s,-37.062757,-37d03m45.9s,17.3,0.17,-0.17,4.23,0.01,0.52,0.01,F8/G0V,5.3,0.06
HIP 94376,HIP 94376,HD 180711,,2MASS J19123328+6739415,1,1,0,0,0,0,0,19h12m33.15s,67.661317,+67d39m40.7s,29.87,,,3.05,0.02,1,0.02,G9III,59.59,0.06
HIP 95447,HIP 95447,HD 182572,GJ 759,2MASS J19245822+1156401,1,0,1,0,0,1,0,19h24m57.77s,11.942851,+11d56m34.3s,15.18,,,5.16,0.02,0.76,0.02,G8IVvar,1.84,0.06
HD 181433,HIP 95467,HD 181433,GJ 756.1,2MASS J19250951-6628075,1,0,1,0,0,1,3,19h25m09.90s,-66.469371,-66d28m09.7s,26.76,0.83,-0.78,8.39,0.02,1.03,0.02,K2IV/V,0.36,0.1
HIP 95501,HIP 95501,HD 182640,GJ 760,2MASS J19252990+0306532,1,1,1,0,0,0,0,19h25m29.75s,3.114579,+03d06m52.5s,15.53,0.32,-0.3,3.36,0,0.32,0,F2IV,9.01,0.06
HIP 96100,HIP 96100,HD 185144,GJ 764,2MASS J19322153+6939413,1,1,1,1,1,1,0,19h32m20.59s,69.665402,+69d39m55.4s,5.75,0.06,-0.06,4.67,0.02,0.79,0.01,G9.0V,0.44,0.06
HIP 96441,HIP 96441,HD 185395,GJ 765 A,2MASS J19362654+5013155 A,1,1,0,0,1,1,0,19h36m26.54s,50.220463,+50d13m13.7s,18.34,,,4.49,0.01,0.4,0.02,F4V,4.51,0.05
